a: 7, b: 8 | Non-Quantized: 0.0 | Quantized: 3.125e-2 | MSE: 9.765625e-4
a: 7, b: 9 | Non-Quantized: 1.5625e-2 | Quantized: 0.0 | MSE: 2.44140625e-4
a: 7, b: 10 | Non-Quantized: 0.0 | Quantized: 0.0 | MSE: 0.0
a: 7, b: 11 | Non-Quantized: 3.125e-2 | Quantized: 0.0 | MSE: 9.765625e-4
a: 7, b: 12 | Non-Quantized: 0.0 | Quantized: 0.0 | MSE: 0.0
a: 7, b: 13 | Non-Quantized: 0.0 | Quantized: 3.125e-2 | MSE: 9.765625e-4
a: 7, b: 14 | Non-Quantized: 0.0 | Quantized: 3.125e-2 | MSE: 9.765625e-4
a: 7, b: 15 | Non-Quantized: 1.171875e-2 | Quantized: 3.125e-2 | MSE: 3.814697265625e-4
a: 8, b: 0 | Non-Quantized: 3.125e-2 | Quantized: 3.125e-2 | MSE: 0.0
a: 8, b: 1 | Non-Quantized: 3.125e-2 | Quantized: 0.0 | MSE: 9.765625e-4
a: 8, b: 2 | Non-Quantized: 0.0 | Quantized: 0.0 | MSE: 0.0
a: 8, b: 3 | Non-Quantized: 0.0 | Quantized: 3.125e-2 | MSE: 9.765625e-4
a: 8, b: 4 | Non-Quantized: 0.0 | Quantized: 0.0 | MSE: 0.0
a: 8, b: 5 | Non-Quantized: 3.125e-2 | Quantized: 0.0 | MSE: 9.765625e-4
a: 8, b: 6 | Non-Quantized: 3.90625e-3 | Quantized: 0.0 | MSE: 1.52587890625e-5
a: 8, b: 7 | Non-Quantized: 0.0 | Quantized: 0.0 | MSE: 0.0
a: 8, b: 8 | Non-Quantized: 0.0 | Quantized: 0.0 | MSE: 0.0
a: 8, b: 9 | Non-Quantized: 0.0 | Quantized: 3.125e-2 | MSE: 9.765625e-4
a: 8, b: 10 | Non-Quantized: 0.0 | Quantized: 3.125e-2 | MSE: 9.765625e-4
a: 8, b: 11 | Non-Quantized: 0.0 | Quantized: 3.125e-2 | MSE: 9.765625e-4
a: 8, b: 12 | Non-Quantized: 0.0 | Quantized: 3.125e-2 | MSE: 9.765625e-4
a: 8, b: 13 | Non-Quantized: 3.125e-2 | Quantized: 3.125e-2 | MSE: 0.0
a: 8, b: 14 | Non-Quantized: 3.90625e-3 | Quantized: 3.125e-2 | MSE: 7.476806640625e-4
a: 8, b: 15 | Non-Quantized: 3.125e-2 | Quantized: 3.125e-2 | MSE: 0.0
a: 9, b: 0 | Non-Quantized: 0.0 | Quantized: 3.125e-2 | MSE: 9.765625e-4
a: 9, b: 1 | Non-Quantized: 0.0 | Quantized: 0.0 | MSE: 0.0
a: 9, b: 2 | Non-Quantized: 0.0 | Quantized: 0.0 | MSE: 0.0
a: 9, b: 3 | Non-Quantized: 1.5625e-2 | Quantized: 3.125e-2 | MSE: 2.44140625e-4
a: 9, b: 4 | Non-Quantized: 0.0 | Quantized: 0.0 | MSE: 0.0
a: 9, b: 5 | Non-Quantized: 0.0 | Quantized: 0.0 | MSE: 0.0
a: 9, b: 6 | Non-Quantized: 3.125e-2 | Quantized: 0.0 | MSE: 9.765625e-4
a: 9, b: 7 | Non-Quantized: 3.125e-2 | Quantized: 0.0 | MSE: 9.765625e-4
